timestamp,mean_sentiment,mid_price,sentiment_60d_ma,price_60d_ma,price_change_1h,price_change_pct
2026-02-14,0.0,0.4960463377770664,0.0,0.4960463377770664,,
2026-02-15,0.0,0.49619908388737155,0.0,0.496122710832219,0.0001527461103051353,0.030792710009630575
2026-02-16,0.11649090428142928,0.4965267382999342,0.03883030142714309,0.49625738665479074,0.00032765441256266126,0.06603285318378393
2026-02-17,0.0,0.49873693618962034,0.02912272607035732,0.49687727403849813,0.0022101978896861274,0.4451316956773921
2026-02-18,0.1099347364014569,0.5012777817055262,0.045285128136577237,0.4977573755719037,0.002540845515905832,0.5094560541912152
2026-02-19,-0.1656344561993059,0.5061550970154854,0.010131864080596714,0.49915699581250067,0.004877315309959274,0.972976558698635
2026-02-20,-0.08327422893261997,0.506220747631007,-0.0032118634927199552,0.5001661032151444,6.565061552155083e-05,0.012970454295269107
2026-02-21,0.0,0.5065360614256201,-0.002810380556129961,0.5009623479914539,0.0003153137946131368,0.06228780548580559
2026-02-22,0.0,0.5093999348949572,-0.0024981160498932986,0.5018998576473988,0.0028638734693370305,0.5653839257321103
2026-02-23,-0.08337360161512711,0.5111286853692514,-0.010585664606416679,0.502822740419584,0.0017287504742942161,0.3393699833610597
2026-02-24,0.0,0.5148144589799188,-0.0096233314603788,0.5039128966523417,0.0036857736106674643,0.7211048247086405
2026-02-25,0.0,0.5157213614012612,-0.0088213871720139,0.5048969353814183,0.0009069024213423926,0.1761610237481337
2026-02-26,0.1656344561993059,0.5116868046104562,0.004598293087318392,0.5054192330144213,-0.0040345567908049995,-0.7823132979876468
2026-02-27,0.0,0.512485004846631,0.004269843581081364,0.5059239310024363,0.0007982002361747176,0.15599390662075496
2026-02-28,0.11580811692462045,0.5097468330700332,0.011705728470650637,0.506178791140276,-0.002738171776597742,-0.5342930526166634
2026-03-01,0.0,0.5123032675100648,0.010974120441234973,0.5065615709133878,0.0025564344400316186,0.501510607654998
2026-03-02,-0.29735232559212554,0.5134946236230471,-0.007162729325433293,0.5069693975433678,0.001191356112982267,0.23254899754447944
2026-03-03,-0.08465120005806775,0.5144222158293187,-0.011467644366135208,0.5073834430036983,0.000927592206271588,0.18064302206843852
2026-03-04,-0.07335322276648087,0.511245856678104,-0.014724780071416558,0.5075867279339302,-0.003176359151214725,-0.6174615040864806
2026-03-05,-0.39292334048374783,0.5146534823905744,-0.03363470809203312,0.5079400656567625,0.003407625712470441,0.666533658504731
2026-03-06,-0.23829591936129288,0.5137497267325621,-0.04338048005723597,0.5082167161841815,-0.0009037556580122619,-0.1756046911048359
2026-04-14,-0.18009373502247214,0.5229173507631245,-0.04959471891929215,0.5088849268468607,0.009167624030562371,1.784453315210155
2026-04-15,-0.12513268959973395,0.5241691468904094,-0.052878978514093976,0.5095494581531019,0.0012517961272848765,0.23938699403607266
2026-04-16,-0.4183243196550244,0.5224733802983459,-0.06810586772829941,0.5100879549091538,-0.0016957665920634968,-0.3235151481393972
